,BLOCK,DATE,TIME,AMBIENT_TEMPERATURE,MODULE_TEMPERATURE,IRRADIATION,Inverter_No_1,DC_POWER_1,AC_POWER_1,Inverter_No_2,DC_POWER_2,AC_POWER_2,Inverter_No_3,DC_POWER_3,AC_POWER_3,Inverter_No_4,DC_POWER_4,AC_POWER_4,Inverter_No_5,DC_POWER_5,AC_POWER_5,Inverter_No_6,DC_POWER_6,AC_POWER_6,Inverter_No_7,DC_POWER_7,AC_POWER_7,Inverter_No_8,DC_POWER_8,AC_POWER_8,Inverter_No_9,DC_POWER_9,AC_POWER_9,Inverter_No_10,DC_POWER_10,AC_POWER_10,Inverter_No_11,DC_POWER_11,AC_POWER_11,Inverter_No_12,DC_POWER_12,AC_POWER_12,Inverter_No_13,DC_POWER_13,AC_POWER_13,Inverter_No_14,DC_POWER_14,AC_POWER_14,Inverter_No_15,DC_POWER_15,AC_POWER_15,Inverter_No_16,DC_POWER_16,AC_POWER_16,Inverter_No_17,DC_POWER_17,AC_POWER_17,Inverter_No_18,DC_POWER_18,AC_POWER_18,Inverter_No_19,DC_POWER_19,AC_POWER_19,Inverter_No_20,DC_POWER_20,AC_POWER_20,Inverter_No_21,DC_POWER_21,AC_POWER_21,Inverter_No_22,DC_POWER_22,AC_POWER_22
20,21,2020-05-15,05:00,25.1175986,24.104579633333337,0.0,1.0,0.0,0.0,2,0.0,0.0,3,0.0,0.0,4.0,0.0,0.0,5.0,0.0,0.0,6,0.0,0.0,7,0.0,0.0,8.0,0.0,0.0,9.0,0.0,0.0,10,0.0,0.0,11.0,0.0,0.0,12.0,0.0,0.0,13,0.0,0.0,14,0.0,0.0,15.0,0.0,0.0,16.0,0.0,0.0,17,0.0,0.0,18,0.0,0.0,19,0.0,0.0,20,0.0,0.0,21.0,0.0,0.0,22,0.0,0.0
21,22,2020-05-15,05:15,25.0918621,23.897232,0.0,1.0,0.0,0.0,2,0.0,0.0,3,0.0,0.0,4.0,0.0,0.0,5.0,0.0,0.0,6,0.0,0.0,7,0.0,0.0,8.0,0.0,0.0,9.0,0.0,0.0,10,0.0,0.0,11.0,0.0,0.0,12.0,0.0,0.0,13,0.0,0.0,14,0.0,0.0,15.0,0.0,0.0,16.0,0.0,0.0,17,0.0,0.0,18,0.0,0.0,19,0.0,0.0,20,0.0,0.0,21.0,0.0,0.0,22,0.0,0.0
22,23,2020-05-15,05:30,24.916967827586213,23.83947131034483,0.0,1.0,0.0,0.0,2,0.0,0.0,3,0.0,0.0,4.0,0.0,0.0,5.0,0.0,0.0,6,0.0,0.0,7,0.0,0.0,8.0,0.0,0.0,9.0,0.0,0.0,10,0.0,0.0,11.0,0.0,0.0,12.0,0.0,0.0,13,0.0,0.0,14,0.0,0.0,15.0,0.0,0.0,16.0,0.0,0.0,17,0.0,0.0,18,0.0,0.0,19,0.0,0.0,20,0.0,0.0,21.0,0.0,0.0,22,0.0,0.0
23,24,2020-05-15,05:45,24.741273799999995,23.7866618,0.002838054505,1.0,0.0,0.0,2,0.0,0.0,3,0.0,0.0,4.0,0.0,0.0,5.0,0.0,0.0,6,0.0,0.0,7,0.0,0.0,8.0,0.0,0.0,9.0,0.0,0.0,10,0.0,0.0,11.0,0.0,0.0,12.0,0.0,0.0,13,0.0,0.0,14,0.0,0.0,15.0,0.0,0.0,16.0,0.0,0.0,17,0.0,0.0,18,0.0,0.0,19,0.0,0.0,20,0.0,0.0,21.0,0.0,0.0,22,0.0,0.0
24,25,2020-05-15,06:00,24.74278656666667,24.07722983333333,0.0129619781466666,1.0,15.406666666666665,14.86,2,14.773333333333332,14.246666666666668,3,15.38,14.84,4.0,14.973333333333334,14.44,5.0,15.16,14.633333333333338,6,15.566666666666665,15.02,7,15.179999999999998,14.673333333333336,8.0,15.1,14.586666666666668,9.0,14.98666666666667,14.453333333333337,10,14.506666666666668,13.993333333333334,11.0,15.713333333333328,15.159999999999997,12.0,11.420000000000002,11.013333333333332,13,15.206666666666669,14.679999999999998,14,15.746666666666668,15.213333333333331,15.0,16.466666666666665,15.9,16.0,16.62666666666667,16.03333333333333,17,14.966666666666669,14.446666666666664,18,15.393333333333333,14.86,19,15.066666666666665,14.546666666666669,20,15.653333333333334,15.133333333333333,21.0,15.113333333333332,14.600000000000003,22,13.586666666666664,13.1
25,26,2020-05-15,06:15,24.76391089655172,24.356189448275863,0.0210376687241379,1.0,27.433333333333334,26.493333333333336,2,25.206666666666667,24.35333333333333,3,27.446666666666665,26.50666666666667,4.0,24.642857142857142,23.79285714285714,5.0,27.22,26.293333333333333,6,26.228571428571435,25.32857142857143,7,26.464285714285715,25.564285714285717,8.0,28.606666666666666,27.613333333333337,9.0,26.846666666666668,25.92,10,26.24666666666667,25.33333333333333,11.0,27.98,27.01333333333333,12.0,21.007142857142856,20.278571428571425,13,27.17333333333333,26.26,14,28.113333333333333,27.15333333333333,15.0,27.846666666666668,26.88,16.0,27.41333333333333,26.486666666666665,17,27.59333333333333,26.63333333333333,18,26.82142857142857,25.9,19,26.328571428571426,25.4,20,27.853333333333335,26.88666666666667,21.0,26.786666666666665,25.87333333333333,22,25.92,25.01333333333333
26,27,2020-05-15,06:30,24.7863229,24.548886100000004,0.042435399,1.0,58.885714285714286,57.02857142857143,2,55.37857142857143,53.614285714285714,3,60.342857142857135,58.43571428571429,4.0,51.98,50.3,5.0,62.36666666666666,60.42666666666666,6,59.153333333333336,57.3,7,58.78,56.900000000000006,8.0,59.11428571428572,57.24285714285715,9.0,61.400000000000006,59.46666666666666,10,56.114285714285714,54.32142857142857,11.0,59.99285714285714,58.092857142857135,12.0,44.553333333333335,43.086666666666666,13,57.52857142857143,55.72142857142857,14,61.400000000000006,59.47857142857142,15.0,63.25999999999999,61.29333333333333,16.0,60.85714285714285,58.92857142857142,17,58.54285714285714,56.692857142857136,18,59.15333333333333,57.273333333333326,19,58.773333333333326,56.91333333333333,20,59.957142857142856,58.1,21.0,61.1,59.15333333333333,22,55.57142857142857,53.785714285714285
27,28,2020-05-15,06:45,25.04824510344827,25.746662,0.1034958783448276,1.0,158.01333333333335,154.48666666666668,2,149.04000000000002,145.60666666666668,3,161.91333333333333,158.36666666666665,4.0,141.47333333333333,138.15333333333334,5.0,164.67857142857142,161.0857142857143,6,164.40666666666664,160.79333333333338,7,162.29999999999998,158.73333333333332,8.0,157.05333333333334,153.57333333333332,9.0,162.89285714285714,159.32857142857145,10,149.70666666666668,146.31999999999996,11.0,159.36666666666667,155.83333333333331,12.0,121.82666666666668,118.62666666666668,13,155.1533333333333,151.66666666666669,14,165.06,161.42666666666665,15.0,166.97857142857143,163.32857142857142,16.0,160.32,156.76000000000002,17,156.58,153.04666666666668,18,162.88666666666666,159.30000000000004,19,161.9933333333333,158.42,20,160.96666666666664,157.5,21.0,160.70714285714286,157.1357142857143,22,147.58,144.16666666666669
28,29,2020-05-15,07:00,25.6732025,28.67470703333333,0.1994504836666666,1.0,313.83333333333326,308.34000000000003,2,292.16,286.89333333333326,3,312.4933333333333,307.0333333333333,4.0,285.9,280.68,5.0,310.38666666666666,304.96000000000004,6,314.90666666666664,309.4266666666666,7,310.45333333333326,304.99333333333334,8.0,314.06,308.56666666666666,9.0,306.74,301.3533333333333,10,300.17999999999995,294.8533333333334,11.0,315.69999999999993,310.16666666666663,12.0,246.70666666666665,241.93333333333337,13,311.4133333333333,305.96666666666664,14,321.92,316.3066666666667,15.0,314.08000000000004,308.5999999999999,16.0,316.48,310.94,17,312.8,307.32666666666665,18,313.7,308.21333333333325,19,307.6933333333333,302.2799999999999,20,316.6333333333333,311.14666666666665,21.0,301.43333333333334,296.14000000000004,22,293.58,288.26000000000005
29,30,2020-05-15,07:15,26.076818,30.72550493103449,0.317665025862069,1.0,393.55999999999995,386.72,2,364.21333333333325,357.9866666666666,3,385.77333333333337,379.0866666666667,4.0,361.3466666666666,355.18,5.0,382.48,375.8466666666666,6,385.2866666666666,378.62,7,380.8866666666667,374.3133333333333,8.0,391.8133333333333,385.0066666666667,9.0,377.17333333333335,370.66666666666663,10,377.19333333333327,370.69333333333327,11.0,395.39333333333326,388.50666666666666,12.0,312.2466666666668,306.7933333333334,13,393.5,386.65333333333336,14,400.02,393.0466666666666,15.0,385.42,378.7466666666666,16.0,400.2000000000001,393.19333333333327,17,394.8466666666666,387.98666666666657,18,385.8666666666666,379.17333333333335,19,375.86,369.38666666666666,20,395.7066666666667,388.68666666666667,21.0,372.0866666666666,365.6933333333334,22,368.76666666666654,362.46
